2022-07-14 13:32:26.3646|0|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: |Microsoft.Extensions.Logging.LoggingExtensions.UsingEphemeralFileSystemLocationInContainer
2022-07-14 13:32:26.4546|0|WARN|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|No XML encryptor configured. Key {b34bb05c-a5b5-415d-a905-bc44585141cd} may be persisted to storage in unencrypted form. |url: |action: |Microsoft.Extensions.Logging.LoggingExtensions.NoXMLEncryptorConfiguredKeyMayBePersistedToStorageInUnencryptedForm
2022-07-14 13:32:26.6943|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://[::]:443 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-07-14 13:32:26.7016|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://[::]:80 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
2022-07-14 13:32:26.7016|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-07-14 13:32:26.7016|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-07-14 13:32:26.7016|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /app/ |url: |action: |Microsoft.Extensions.Hosting.Internal.ConsoleLifetime.OnApplicationStarted
2022-07-14 13:42:02.2579|0|ERROR|Simple_Asp.Net_Core.Controllers.OAuthController|TEST1 |url: https://localhost/api/OAuth|action: Authenticate|Simple_Asp.Net_Core.Controllers.OAuthController.Authenticate
2022-07-14 14:05:17.3353|0|WARN|Microsoft.AspNetCore.DataProtection.Repositories.FileSystemXmlRepository|Storing keys in a directory '/root/.aspnet/DataProtection-Keys' that may not be persisted outside of the container. Protected data will be unavailable when container is destroyed. |url: |action: |Microsoft.Extensions.Logging.LoggingExtensions.UsingEphemeralFileSystemLocationInContainer
2022-07-14 14:05:17.4139|0|WARN|Microsoft.AspNetCore.DataProtection.KeyManagement.XmlKeyManager|No XML encryptor configured. Key {1e43d2bf-1d06-4d5c-8140-10ba14213785} may be persisted to storage in unencrypted form. |url: |action: |Microsoft.Extensions.Logging.LoggingExtensions.NoXMLEncryptorConfiguredKeyMayBePersistedToStorageInUnencryptedForm
2022-07-14 14:05:17.5849|0|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://[::]:443 |url: |action: |Microsoft.AspNetCore.Hosting.GenericWebHostService.StartAsync
